ID,proportion
061B,6.596132028178676e-06
0106,6.596132028178676e-06
0669,6.596132028178676e-06
0069,6.596132028178676e-06
0620,6.596132028178676e-06
0401,6.596132028178676e-06
01C5,6.596132028178676e-06
0179,6.596132028178676e-06
0277,6.596132028178676e-06
04AB,6.596132028178676e-06
0494,6.596132028178676e-06
0454,6.596132028178676e-06
07F1,6.596132028178676e-06
06F9,6.596132028178676e-06
0269,6.596132028178676e-06
0692,6.596132028178676e-06
044A,6.596132028178676e-06
0090,6.596132028178676e-06
01B6,6.596132028178676e-06
0785,6.596132028178676e-06
0688,6.596132028178676e-06
01E9,6.596132028178676e-06
03E5,6.596132028178676e-06
0359,6.596132028178676e-06
01BF,6.596132028178676e-06
059C,6.596132028178676e-06
00FD,6.596132028178676e-06
074A,6.596132028178676e-06
0109,6.596132028178676e-06
0024,6.596132028178676e-06
0763,6.596132028178676e-06
0126,6.596132028178676e-06
04B0,6.596132028178676e-06
07FB,6.596132028178676e-06
05B6,6.596132028178676e-06
0393,6.596132028178676e-06
0197,6.596132028178676e-06
04D4,6.596132028178676e-06
03E6,6.596132028178676e-06
0599,6.596132028178676e-06
021C,6.596132028178676e-06
06BC,6.596132028178676e-06
03CC,6.596132028178676e-06
009E,6.596132028178676e-06
072C,6.596132028178676e-06
05CD,6.596132028178676e-06
0592,6.596132028178676e-06
05FE,6.596132028178676e-06
0680,6.596132028178676e-06
0466,6.596132028178676e-06
02FB,6.596132028178676e-06
056C,6.596132028178676e-06
0748,6.596132028178676e-06
05A1,6.596132028178676e-06
04AF,6.596132028178676e-06
018C,6.596132028178676e-06
07C4,6.596132028178676e-06
0737,6.596132028178676e-06
06B0,6.596132028178676e-06
03D6,6.596132028178676e-06
0305,6.596132028178676e-06
0601,6.596132028178676e-06
0459,6.596132028178676e-06
0386,6.596132028178676e-06
04A3,6.596132028178676e-06
023D,6.596132028178676e-06
06FB,6.596132028178676e-06
05FB,6.596132028178676e-06
0651,6.596132028178676e-06
0690,6.596132028178676e-06
0329,6.596132028178676e-06
049D,6.596132028178676e-06
06E0,6.596132028178676e-06
02CD,6.596132028178676e-06
051B,6.596132028178676e-06
0517,6.596132028178676e-06
071A,6.596132028178676e-06
00B2,6.596132028178676e-06
01C1,6.596132028178676e-06
06D2,6.596132028178676e-06
04B8,6.596132028178676e-06
00D3,6.596132028178676e-06
008C,6.596132028178676e-06
0081,6.596132028178676e-06
012B,6.596132028178676e-06
0534,6.596132028178676e-06
005F,6.596132028178676e-06
0740,6.596132028178676e-06
07F6,6.596132028178676e-06
045E,6.596132028178676e-06
02DE,6.596132028178676e-06
0562,6.596132028178676e-06
07FE,6.596132028178676e-06
043F,6.596132028178676e-06
0786,6.596132028178676e-06
04F4,6.596132028178676e-06
01EB,6.596132028178676e-06
03B5,6.596132028178676e-06
0258,6.596132028178676e-06
072B,6.596132028178676e-06
0265,6.596132028178676e-06
07F9,6.596132028178676e-06
033B,6.596132028178676e-06
0409,6.596132028178676e-06
074F,6.596132028178676e-06
079C,6.596132028178676e-06
0579,6.596132028178676e-06
0583,6.596132028178676e-06
0600,6.596132028178676e-06
0034,6.596132028178676e-06
01E3,6.596132028178676e-06
04B3,6.596132028178676e-06
0007,6.596132028178676e-06
071F,6.596132028178676e-06
03E9,6.596132028178676e-06
02D2,6.596132028178676e-06
051E,6.596132028178676e-06
0362,6.596132028178676e-06
0545,6.596132028178676e-06
046E,6.596132028178676e-06
02C8,6.596132028178676e-06
077F,6.596132028178676e-06
060F,6.596132028178676e-06
0433,6.596132028178676e-06
05F7,6.596132028178676e-06
01D2,6.596132028178676e-06
07CC,6.596132028178676e-06
049A,6.596132028178676e-06
058D,6.596132028178676e-06
002E,6.596132028178676e-06
05A4,6.596132028178676e-06
022D,6.596132028178676e-06
030C,6.596132028178676e-06
0229,6.596132028178676e-06
053F,6.596132028178676e-06
00C0,6.596132028178676e-06
054F,6.596132028178676e-06
07CE,6.596132028178676e-06
01A6,6.596132028178676e-06
010D,6.596132028178676e-06
05BA,6.596132028178676e-06
01E6,6.596132028178676e-06
0161,6.596132028178676e-06
0255,6.596132028178676e-06
03E7,6.596132028178676e-06
04C7,6.596132028178676e-06
061F,6.596132028178676e-06
00BF,6.596132028178676e-06
04B5,6.596132028178676e-06
0625,6.596132028178676e-06
059A,6.596132028178676e-06
051F,6.596132028178676e-06
04A1,6.596132028178676e-06
00EC,6.596132028178676e-06
028C,6.596132028178676e-06
024D,6.596132028178676e-06
066C,6.596132028178676e-06
026A,6.596132028178676e-06
